player,age,tm.x,number,position,ht,wt,college,country
Garrison Mathews,24,WAS,24,G,5-Jun,215,Lipscomb,USA
Dakota Mathias,25,PHI,NA,G,4-Jun,200,Purdue,USA
Wesley Matthews,34,LAL,9,G,4-Jun,220,Marquette,USA
Tyrese Maxey,20,PHI,0,G,2-Jun,200,Kentucky,USA
Skylar Mays,23,ATL,4,G,4-Jun,205,Louisiana State,USA
CJ McCollum,29,POR,3,G,3-Jun,190,Lehigh,USA
T.J. McConnell,28,IND,9,G,1-Jun,190,Arizona,USA
Jaden McDaniels,20,MIN,3,F,9-Jun,185,Washington,USA
Jalen McDaniels,23,CHO,6,F-C,9-Jun,205,San Diego State,USA
Doug McDermott,29,IND,20,F,7-Jun,225,Creighton,USA
Sean McDermott,24,MEM,30,F,6-Jun,195,Butler,USA
JaVale McGee,33,CLE,6,C-F,1-Jul,270,Nevada-Reno,USA
Rodney McGruder,29,DET,17,G,4-Jun,205,Kansas State,USA
Alfonzo McKinnie,28,LAL,28,F,7-Jun,215,Wisconsin-Green Bay,USA
Jordan McLaughlin,24,MIN,6,G,11-May,185,Southern California,USA
Ben McLemore,27,HOU,16,G,3-Jun,195,Kansas,USA
Nicolò Melli,30,NOP,NA,NA,NA,NA,NA,NA
De'Anthony Melton,22,MEM,0,G,2-Jun,200,Southern California,USA
Sam Merrill,24,MIL,15,G,4-Jun,205,Utah State,USA
Chimezie Metu,23,SAC,25,F-C,9-Jun,225,Southern California,USA
Khris Middleton,29,MIL,22,F,7-Jun,222,Texas A&M,USA
Darius Miller,30,OKC,12,F,6-Jun,225,Kentucky,USA
Patty Mills,32,SAS,8,G,1-Jun,180,St.Mary's College of California,Australia
Paul Millsap,35,DEN,4,F,7-Jun,257,Louisiana Tech,USA
Shake Milton,24,PHI,18,G-F,5-Jun,205,Southern Methodist,USA
Donovan Mitchell,24,UTA,45,G,1-Jun,215,Louisville,USA
Adam Mokoka,22,CHI,20,G,4-Jun,190,Mega Basket,France
Malik Monk,22,CHO,1,G,3-Jun,200,Kentucky,USA
E'Twaun Moore,31,PHO,55,G,3-Jun,191,Purdue,USA
Ja Morant,21,MEM,12,G,3-Jun,174,Murray State,USA
Juwan Morgan,23,UTA,16,F,7-Jun,232,Indiana,USA
Marcus Morris,31,LAC,NA,NA,NA,NA,NA,NA
Markieff Morris,31,LAL,88,F,9-Jun,245,Kansas,USA
Monte Morris,25,DEN,11,G,2-Jun,183,Iowa State,USA
Mychal Mulder,26,GSW,15,G,3-Jun,184,Kentucky,Canada
Dejounte Murray,24,SAS,5,G,4-Jun,180,Washington,USA
Jamal Murray,23,DEN,27,G,3-Jun,215,Kentucky,Canada
Mike Muscala,29,OKC,33,F-C,10-Jun,240,Bucknell,USA
Sviatoslav Mykhailiuk,23,DET,NA,NA,NA,NA,NA,NA
Abdel Nader,27,PHO,11,F,5-Jun,225,Iowa State,Egypt
Larry Nance Jr.,28,CLE,22,F-C,7-Jun,245,Wyoming,USA
Aaron Nesmith,21,BOS,26,G-F,5-Jun,215,Vanderbilt,USA
Raul Neto,28,WAS,19,G,1-Jun,180,Murcia,Brazil
Georges Niang,27,UTA,31,F,7-Jun,230,Iowa State,USA
Zeke Nnaji,20,DEN,22,F-C,9-Jun,240,Arizona,USA
